snapshot_row_id,family,start_seconds,start_utc,end_seconds,end_utc,read_seconds,read_utc,write_seconds,write_utc,hfStart_seconds,hfStart_utc,hfEnd_seconds,hfEnd_utc,observedStop,hf_before_read,read_to_hf_hours
68,HPIM,163837.841,2026-07-07T21:30:37.841000+00:00,346669.0,2026-07-10T00:17:49+00:00,263171.236,2026-07-09T01:06:11.236000+00:00,303003.414,2026-07-09T12:10:03.414000+00:00,,,,,False,False,
69,HPIM,163755.117,2026-07-07T21:29:15.117000+00:00,348270.0,2026-07-10T00:44:30+00:00,275781.322,2026-07-09T04:36:21.322000+00:00,276794.772,2026-07-09T04:53:14.772000+00:00,,,,,False,False,
70,HPIM,175020.766,2026-07-08T00:37:00.766000+00:00,348371.438,2026-07-10T00:46:11.438000+00:00,255965.77,2026-07-08T23:06:05.770000+00:00,258595.407,2026-07-08T23:49:55.407000+00:00,,,,,False,False,
71,HPIM,164093.591,2026-07-07T21:34:53.591000+00:00,349603.0,2026-07-10T01:06:43+00:00,322345.796,2026-07-09T17:32:25.796000+00:00,322477.909,2026-07-09T17:34:37.909000+00:00,,,,,False,False,
72,HPIM,167580.743,2026-07-07T22:33:00.743000+00:00,350546.0,2026-07-10T01:22:26+00:00,300673.866,2026-07-09T11:31:13.866000+00:00,300813.919,2026-07-09T11:33:33.919000+00:00,,,,,False,False,
73,HPIM,164043.902,2026-07-07T21:34:03.902000+00:00,351760.0,2026-07-10T01:42:40+00:00,332782.163,2026-07-09T20:26:22.163000+00:00,332990.27,2026-07-09T20:29:50.270000+00:00,,,,,False,False,
74,HPIM,163839.517,2026-07-07T21:30:39.517000+00:00,351926.215,2026-07-10T01:45:26.215000+00:00,261885.296,2026-07-09T00:44:45.296000+00:00,261982.436,2026-07-09T00:46:22.436000+00:00,,,,,False,False,
75,HPIM,164076.162,2026-07-07T21:34:36.162000+00:00,352269.778,2026-07-10T01:51:09.778000+00:00,255887.833,2026-07-08T23:04:47.833000+00:00,258950.421,2026-07-08T23:55:50.421000+00:00,293515.91,2026-07-09T09:31:55.910000+00:00,351935.702,2026-07-10T01:45:35.702000+00:00,True,False,10.4522436111111
76,HPIM,164175.283,2026-07-07T21:36:15.283000+00:00,352448.0,2026-07-10T01:54:08+00:00,276814.236,2026-07-09T04:53:34.236000+00:00,277002.823,2026-07-09T04:56:42.823000+00:00,,,,,False,False,
77,HPIM,184348.307,2026-07-08T03:12:28.307000+00:00,354000.0,2026-07-10T02:20:00+00:00,269050.888,2026-07-09T02:44:10.888000+00:00,269940.832,2026-07-09T02:59:00.832000+00:00,,,,,False,False,
78,HPIM,182023.243,2026-07-08T02:33:43.243000+00:00,354825.0,2026-07-10T02:33:45+00:00,274432.402,2026-07-09T04:13:52.402000+00:00,274641.085,2026-07-09T04:17:21.085000+00:00,,,,,False,False,
79,HPIM,165015.269,2026-07-07T21:50:15.269000+00:00,355579.465,2026-07-10T02:46:19.465000+00:00,325568.868,2026-07-09T18:26:08.868000+00:00,326520.492,2026-07-09T18:42:00.492000+00:00,,,,,False,False,
80,HPIM,169961.115,2026-07-07T23:12:41.115000+00:00,356655.0,2026-07-10T03:04:15+00:00,278286.792,2026-07-09T05:18:06.792000+00:00,279059.347,2026-07-09T05:30:59.347000+00:00,295147.529,2026-07-09T09:59:07.529000+00:00,356655.0,2026-07-10T03:04:15+00:00,False,False,4.6835380555555455
81,HPIM,165898.64,2026-07-07T22:04:58.640000+00:00,357325.452,2026-07-10T03:15:25.452000+00:00,265994.148,2026-07-09T01:53:14.148000+00:00,266118.557,2026-07-09T01:55:18.557000+00:00,,,,,False,False,
82,HPIM,169687.192,2026-07-07T23:08:07.192000+00:00,357991.0,2026-07-10T03:26:31+00:00,286436.692,2026-07-09T07:33:56.692000+00:00,286632.791,2026-07-09T07:37:12.791000+00:00,,,,,False,False,
83,HPIM,169944.477,2026-07-07T23:12:24.477000+00:00,359202.0,2026-07-10T03:46:42+00:00,265227.233,2026-07-09T01:40:27.233000+00:00,265328.11,2026-07-09T01:42:08.110000+00:00,293558.326,2026-07-09T09:32:38.326000+00:00,359202.0,2026-07-10T03:46:42+00:00,False,False,7.8697480555555535
84,HPIM,164258.153,2026-07-07T21:37:38.153000+00:00,359245.882,2026-07-10T03:47:25.882000+00:00,282663.189,2026-07-09T06:31:03.189000+00:00,282853.343,2026-07-09T06:34:13.343000+00:00,298528.269,2026-07-09T10:55:28.269000+00:00,316968.909,2026-07-09T16:02:48.909000+00:00,True,False,4.406966666666655
85,HPIM,170607.61,2026-07-07T23:23:27.610000+00:00,359349.0,2026-07-10T03:49:09+00:00,294646.282,2026-07-09T09:50:46.282000+00:00,294958.567,2026-07-09T09:55:58.567000+00:00,,,,,False,False,
86,HPIM,189496.984,2026-07-08T04:38:16.984000+00:00,359482.0,2026-07-10T03:51:22+00:00,269365.74,2026-07-09T02:49:25.740000+00:00,269496.066,2026-07-09T02:51:36.066000+00:00,,,,,False,False,
